"LOCATION","LOCATION_label.fr","LOCATION_label.en","TRANSACT","TRANSACT_label.fr","TRANSACT_label.en","MEASURE","MEASURE_label.fr","MEASURE_label.en","TIME_FORMAT","TIME_FORMAT_label.en","UNIT","UNIT_label.en","POWERCODE","POWERCODE_label.en","obsTime","obsValue"
"NZL","Nouvelle-Zélande","New Zealand","PPPP41","Parités de Pouvoir d'Achat de la consommation individuelle effective","Purchasing Power Parities for actual individual consumption","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","NZD","New Zealand Dollar","0","Units","2009",1.470731
"NZL","Nouvelle-Zélande","New Zealand","PPPP41","Parités de Pouvoir d'Achat de la consommation individuelle effective","Purchasing Power Parities for actual individual consumption","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","NZD","New Zealand Dollar","0","Units","2010",1.472207
"NZL","Nouvelle-Zélande","New Zealand","PPPP41","Parités de Pouvoir d'Achat de la consommation individuelle effective","Purchasing Power Parities for actual individual consumption","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","NZD","New Zealand Dollar","0","Units","2011",1.476817
"NZL","Nouvelle-Zélande","New Zealand","PPPP41","Parités de Pouvoir d'Achat de la consommation individuelle effective","Purchasing Power Parities for actual individual consumption","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","NZD","New Zealand Dollar","0","Units","2012",1.469729
"NZL","Nouvelle-Zélande","New Zealand","PPPP41","Parités de Pouvoir d'Achat de la consommation individuelle effective","Purchasing Power Parities for actual individual consumption","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","NZD","New Zealand Dollar","0","Units","2013",1.447742
"NZL","Nouvelle-Zélande","New Zealand","PPPP41","Parités de Pouvoir d'Achat de la consommation individuelle effective","Purchasing Power Parities for actual individual consumption","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","NZD","New Zealand Dollar","0","Units","2014",1.449829
"NZL","Nouvelle-Zélande","New Zealand","PPPP41","Parités de Pouvoir d'Achat de la consommation individuelle effective","Purchasing Power Parities for actual individual consumption","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","NZD","New Zealand Dollar","0","Units","2015",1.454794
"ISL","Islande","Iceland","EXCE","Taux de change, fin de période","Exchange rates, end of period","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","ISK","Iceland Krona","0","Units","2005",62.98
"ISL","Islande","Iceland","EXCE","Taux de change, fin de période","Exchange rates, end of period","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","ISK","Iceland Krona","0","Units","2006",71.66
"ISL","Islande","Iceland","EXCE","Taux de change, fin de période","Exchange rates, end of period","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","ISK","Iceland Krona","0","Units","2007",61.85
"ISL","Islande","Iceland","EXCE","Taux de change, fin de période","Exchange rates, end of period","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","ISK","Iceland Krona","0","Units","2008",120.58
"ISL","Islande","Iceland","EXCE","Taux de change, fin de période","Exchange rates, end of period","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","ISK","Iceland Krona","0","Units","2009",124.9
"ISL","Islande","Iceland","EXCE","Taux de change, fin de période","Exchange rates, end of period","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","ISK","Iceland Krona","0","Units","2010",115.05
"ISL","Islande","Iceland","EXCE","Taux de change, fin de période","Exchange rates, end of period","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","ISK","Iceland Krona","0","Units","2011",122.71
"ISL","Islande","Iceland","EXCE","Taux de change, fin de période","Exchange rates, end of period","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","ISK","Iceland Krona","0","Units","2012",128.99
"ISL","Islande","Iceland","EXCE","Taux de change, fin de période","Exchange rates, end of period","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","ISK","Iceland Krona","0","Units","2013",115.55
"ISL","Islande","Iceland","EXCE","Taux de change, fin de période","Exchange rates, end of period","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","ISK","Iceland Krona","0","Units","2014",126.9
"ISL","Islande","Iceland","EXCE","Taux de change, fin de période","Exchange rates, end of period","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","ISK","Iceland Krona","0","Units","2015",129.59
"ISL","Islande","Iceland","EXCE","Taux de change, fin de période","Exchange rates, end of period","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","ISK","Iceland Krona","0","Units","2016",112.82
"AUS","Australie","Australia","PPPPRC","Parités de pouvoir d'achat de la consommation privée","Purchasing Power Parities for private consumption","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","AUD","Australian Dollar","0","Units","2005",1.46414
"AUS","Australie","Australia","PPPPRC","Parités de pouvoir d'achat de la consommation privée","Purchasing Power Parities for private consumption","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","AUD","Australian Dollar","0","Units","2006",1.498024
"AUS","Australie","Australia","PPPPRC","Parités de pouvoir d'achat de la consommation privée","Purchasing Power Parities for private consumption","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","AUD","Australian Dollar","0","Units","2007",1.507493
"AUS","Australie","Australia","PPPPRC","Parités de pouvoir d'achat de la consommation privée","Purchasing Power Parities for private consumption","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","AUD","Australian Dollar","0","Units","2008",1.530675
"AUS","Australie","Australia","PPPPRC","Parités de pouvoir d'achat de la consommation privée","Purchasing Power Parities for private consumption","CD","Monnaie nationale par dollar É-U","National currency per US dollar","P1Y","Annual","AUD","Australian Dollar","0","Units","2009",1.543244
